pcc,srcc,rmse,ssim,gene
0.773577427771524,0.7656371260179562,0.6756713425007621,0.7128394717212072,A2M
0.6574084044135876,0.5621243689982434,0.33274803208830367,0.5336572532569595,AACS
0.6949930679458499,0.6321738488297207,0.3750286687382749,0.5759414234220666,AAGAB
0.48772681600931084,0.483362440547868,0.3589982670367607,0.42544815228394833,AAK1
0.11052325655790038,0.0889976275993547,0.08988605415503376,0.8273547081195243,AARD
0.5665886486169225,0.4988429483557929,0.3206411397043215,0.46410262961482757,AASDHPPT
0.6867935358556411,0.5938975322841182,0.3178646362398818,0.5707650383746308,ABAT
0.5115723422091328,0.5160451676412621,0.41662713896496756,0.43066759158457146,ABCA1
0.11989875236984344,0.11464832214091625,0.1369957841891045,0.6920261994729539,ABCA3
0.43378199061422396,0.4118627869773924,0.2932293686377652,0.39273976479560324,ABCA5
0.3818911422302993,0.36008505586086975,0.2393342655024488,0.4079348943891935,ABCA7
0.678094968573702,0.6013863177031177,0.3348610064411742,0.5582244482733727,ABCB7
0.5435701331866837,0.5114728263086363,0.34319046387914875,0.46157238271622425,ABCC5
0.07696326810164832,0.03895583316043937,0.08497253974531635,0.8930124846126998,ABCD2
0.5028955434976924,0.44700265319229393,0.285788814263116,0.45014193887241216,ABCD3
0.5256518617440685,0.45409818460513324,0.2692723620363347,0.463823039980463,ABCE1
0.46663229271474693,0.45519381519134233,0.3250858706958991,0.4122099563666642,ABCG1
0.06281237164611256,0.06327973246213574,0.10546063904126947,0.8669752193711168,ABCG2
0.378156445452891,0.3221803747205939,0.2120085299132145,0.4435599324787978,ABHD10
0.8292488042939141,0.7075466047393675,0.3622004315270497,0.7071752139862848,ABHD11
0.6080399686679889,0.5573650552301105,0.343516639046889,0.5272945321778025,ABHD12
0.5215452820446748,0.4689789244777818,0.2764615278675111,0.47408921604945675,ABHD13
0.4893688477278761,0.4710950902324569,0.33002837218070263,0.4247226108689392,ABHD17B
0.8342035657928817,0.7276547151867695,0.3520240085701899,0.7294361008521355,ABHD17C
0.7398634400199738,0.7176966378574597,0.44382922445871825,0.6528546065324937,ABHD2
0.4617122512196438,0.41714239660948405,0.2839017341141245,0.4091759756354948,ABHD3
0.41118755267108553,0.4101850527427077,0.3066329347654501,0.3752996342674202,ABHD5
0.32794681597048014,0.31060087801504316,0.21985161507642037,0.43411569101211817,ABHD6
0.7451288777552608,0.6964348329670712,0.40807097636793943,0.6481974628290552,ABI1
0.6740564124534475,0.659161953686276,0.3878346920503281,0.5910480192260075,ABI2
0.2715108850951813,0.2608376649047176,0.30903854184685814,0.2941567849075481,ABI3BP
0.5895933090133771,0.5929392795990553,0.4282774243189149,0.5138526282224097,ABL2
0.7938759649853329,0.6825395385234945,0.3755282218336757,0.665131806178134,ABLIM1
0.6131045244195922,0.5453697461120061,0.30035178996283524,0.5283996466928862,ABLIM2
0.791274426326506,0.7483925746834715,0.4162552550846164,0.7081036518448065,ABR
0.8653369767561084,0.7866212775579343,0.38659199650694964,0.7789664646151292,ABRACL
0.743094525604528,0.6759909912002406,0.40900439237996805,0.6294859006597847,ACAA2
0.7520791327388114,0.6601210083100765,0.37491227156940216,0.6274645685264697,ACACA
0.39461672748357085,0.3707922286645381,0.2693160898310641,0.3879257663280329,ACAD8
0.6031585056531856,0.5500126774327294,0.3370908301104901,0.513040578238598,ACAD9
0.5273493620299691,0.4842959695578136,0.33430897961137784,0.445979726764903,ACADM
0.4616906395005545,0.4109969192086578,0.26314861511037835,0.4181201979602538,ACADSB
0.6059430277463359,0.5963417129688015,0.3886507881616894,0.5176707496432117,ACAP3
0.6342833911089488,0.5511814586817407,0.3971362087888062,0.4965435376175219,ACAT1
0.7887959958377,0.6599994833766439,0.34796097077408694,0.6504383099353185,ACAT2
0.7906711547365088,0.7492123820720462,0.4265203098769727,0.6986511813084899,ACBD3
0.7182930798573214,0.6265066057934421,0.3373146108681784,0.5962191104896156,ACBD5
0.6929453695262828,0.6365484629836788,0.3799882757109891,0.5877648737748299,ACBD6
0.5717220580961145,0.5035892665209339,0.30859011635874345,0.4965420337131813,ACE
0.3118635471070501,0.2926425114765776,0.1950539976330792,0.5200239205448052,ACHE
0.17385215464421394,0.14562490514811344,0.1876116956375236,0.4753538202134139,ACKR1
0.4565196243980769,0.45169369917992047,0.33721214045308767,0.392907745126689,ACKR3
0.6457217618249278,0.5752624366221297,0.3601653282030918,0.5450348518202607,ACLY
0.6658524467253524,0.5489499690865666,0.31309681169707404,0.5453481075576624,ACOT13
0.5693692355291055,0.5172250928243568,0.3243812360696993,0.4810992976436161,ACOT7
0.35051945295001063,0.35034556065993816,0.2955830974197916,0.3430790192145517,ACOX3
0.6899997968739835,0.5757391522984336,0.310498323783865,0.5651363963455043,ACP1
0.508422328808088,0.48562336456354477,0.34954883541433734,0.4370646899547506,ACP5
0.0011176591702560744,0.015092862857780484,0.048306362039475845,0.9642772944906948,ACSBG1
0.5061552728304648,0.4600332099979107,0.37018041146206,0.40927377197805465,ACSL1
0.7227708618952403,0.6600114453750835,0.3841902986892778,0.6157232865115936,ACSL3
0.5112533014415427,0.5081891710981404,0.3803137367497994,0.44372382220174317,ACSL4
0.8977651026313694,0.7753482930871656,0.3880149234944655,0.7965667883304648,ACSL5
0.4355524491098529,0.3595938683670177,0.2678940293481514,0.3903976720230598,ACSS1
0.8231788581257011,0.706156075639273,0.3620346996421263,0.6940112787861201,ACSS2
0.8339146117438409,0.8263114327993547,0.9903640812603326,0.7270757329636215,ACTA2
0.9187280162561208,0.8905861510102453,0.5091424106755653,0.8769980234203986,ACTG1
0.6540842558758139,0.5557179317419526,0.33466526249686607,0.5282760301668672,ACTL6A
,,0.012328647142477316,0.9941486015460047,ACTL6B
0.8706625812372277,0.841583605928944,0.564909648085048,0.8239973441162347,ACTN1
0.5885206255271769,0.5547686631930673,0.3735925368572914,0.48701028839271227,ACTR10
0.7888332661681112,0.7477477380017191,0.4262979504527273,0.7060827934360253,ACTR1B
0.7972166594793539,0.7726144264094682,0.4441900831345754,0.7158502541113233,ACTR3
0.3506658783011372,0.31213165320006564,0.1926766489805006,0.4818325524840259,ACTR6
0.4933946217704513,0.48378878772104494,0.34018559637243184,0.4358092823806974,ACVR1
0.7506322912680823,0.648608057425029,0.3666668101693364,0.6214430101733245,ACVR1B
0.45803788065899803,0.43713357230902866,0.29995983222432904,0.400266602958049,ACVR2A
0.3554432656359953,0.2957587857699415,0.1663495184227675,0.5904163219788922,ACYP1
0.4723530404988694,0.45075224509140877,0.34109241368254356,0.40486984646849666,ACYP2
-0.0027820901463209225,-0.0037361884864665212,0.04774464613018185,0.9691394956879102,ADAM11
0.6907058616987991,0.671240659785384,0.4565872742069196,0.5895240677086155,ADAM15
0.7356660104566677,0.7244404290430172,0.44290416724414367,0.6627184393730426,ADAM19
0.2818219832300835,0.24996629382157437,0.17574749728505923,0.5156005093360072,ADAM22
0.20011638048860372,0.2092072187727919,0.19642727289451814,0.4893970986467295,ADAM23
0.638762470741077,0.622747338246846,0.4186793374465874,0.5538610744617087,ADAM9
0.5166956639345771,0.5178012290740766,0.5200492742924541,0.4364792353119117,ADAMTS1
0.7241295467545541,0.686750467087716,0.44557045275038326,0.6305550148840403,ADAMTS2
0.5504795885607109,0.5287545539654465,0.41741841172886557,0.44429527443062844,ADAMTS4
0.3238355447199648,0.3031379977804085,0.2554339300568404,0.3495186744662074,ADAMTS5
0.8627559914993853,0.8424316717497689,0.504095086488802,0.7889957553639776,ADAR
0.24262286831709118,0.24684437590047228,0.2639785254994031,0.31651317901457304,ADARB1
-0.01150822096515195,0.0035593807841021834,0.1183277131842521,0.8410739496284811,ADCY1
0.26282036935447284,0.24633191939827212,0.13014448666851608,0.7444928414053751,ADCY2
0.5415338668671544,0.5125089598635993,0.3870032256371474,0.44952472669678095,ADCY3
0.49958632214323967,0.3970959064264191,0.2806112533082499,0.46918967798249855,ADCY5
0.04462862753375601,0.038409219183330186,0.12232851568157954,0.8312923457638469,ADCYAP1
0.46233158114223566,0.4544035111401252,0.30697395042403414,0.43376123702627006,ADGRA3
0.0023905397539037638,-0.005666642589539854,0.11767532617631349,0.8511469090440529,ADGRB1
0.22513753378460225,0.211134688763193,0.17738006194837702,0.5604792715210668,ADGRB2
-0.0041264880153937976,-3.6316644822556044e-05,0.0864928518705132,0.9060779630713504,ADGRB3
0.41617253381176067,0.3994727045848166,0.3597186352985866,0.3605283845209799,ADGRF5
0.869597526946203,0.7732081824443492,0.385525316526534,0.7672847047381431,ADGRG1
0.47102944270747826,0.3833582751793156,0.21261503598023268,0.5100410614458276,ADGRG6
0.62646352352406,0.5722656292708804,0.34068248552429614,0.5269210005141773,ADGRL1
0.472016709604478,0.470422259028333,0.3599177698423333,0.41154691730292636,ADGRL2
0.04215686384439772,0.02917855206018496,0.13323648879525243,0.7954665618283319,ADGRL3
0.36820089318705884,0.34546850537824025,0.29599042916611973,0.35369672320279133,ADGRL4
0.809669485553632,0.7709464458370777,0.42166757782673053,0.720547917157354,ADIPOR1
0.7628006249215895,0.6675906823113191,0.3707584673428441,0.6371649020407227,ADK
0.6503571474243336,0.5244081290274031,0.38184296194186124,0.48088342792999206,ADM
0.575492318659678,0.5410591869085193,0.34315668183902187,0.485191036979466,ADNP2
0.11140544066764066,0.11706437250358877,0.1448497420473768,0.6714143168690521,ADORA1
0.20865003578784555,0.2222679810377836,0.2078991099980301,0.42113009676021185,ADPRH
0.1744724107999888,0.16465494335268938,0.17124312925651927,0.5056044591103773,ADRA2A
0.8420472450414773,0.8447930216286337,0.6411337111995596,0.7753507066195403,AEBP1
0.7409256641477532,0.7086218230927803,0.4307166000464222,0.6399994573244003,AEBP2
0.4815774619674999,0.47963331985215085,0.3965982358205535,0.3881989606537968,AFAP1L2
0.8192059238597363,0.755198625890242,0.41724275658813115,0.7183891573368931,AFDN
0.1332243366369709,0.12355448206300472,0.10977704796457521,0.8206684852262289,AFF3
0.6339236118004985,0.577220013504164,0.3557608316197357,0.5312867236833683,AFG3L2
0.7848858192897635,0.7098782610010124,0.37808839289745527,0.6743480842588087,AFTPH
0.5949162435649044,0.518342259956562,0.3126717572272284,0.4816055267235902,AGA
0.1257203725318147,0.11616409058574353,0.16076307358053263,0.6821483706489447,AGAP2
0.6578821600981487,0.6326802106413909,0.37890137344840336,0.582741230084315,AGAP3
0.8312940494734297,0.7788329153064242,0.41868889348569366,0.7492826739853599,AGFG1
0.382347307358053,0.32966083086197046,0.22351722562044138,0.40364082274668567,AGFG2
0.3430497033592824,0.3345564490990896,0.2741653428412906,0.3580366746924323,AGL
0.7863203019285713,0.7529835791678737,0.42436697321675887,0.6997795191635021,AGO2
0.5342592187238694,0.5113470838838136,0.35449630692875933,0.44181008180942577,AGPAT4
0.5947759848880142,0.5139023677102694,0.31408751895755854,0.48415258131741545,AGPAT5
0.6476359157584745,0.6237354412405369,0.3826896119907532,0.5565936560341783,AGPS
0.7828386446305123,0.750135542216101,0.4245751473283762,0.7028626067836701,AGRN
0.3837925042074443,0.38107146731762925,0.40374375252865197,0.3256837115817345,AGT
0.5469912134841252,0.5207240591087249,0.36546208428170923,0.44779846869088935,AGTPBP1
0.46672386993856635,0.43114669734244687,0.30243506863746605,0.43537840207349326,AHCYL2
0.3802445010431311,0.3784661677828691,0.31712911002623684,0.35319500341287374,AHDC1
0.46135993552689986,0.43749297277430776,0.29267699655376617,0.41951779848118764,AHI1
0.8495794829210559,0.8280023159964683,0.5666381624242712,0.7999374219788941,AHNAK
0.4919529819558791,0.4895851407698907,0.3604052743967172,0.4414322546264564,AHNAK2
0.7983529342066431,0.7838148333077116,0.5280013328990585,0.7148872208381,AHSA1
0.46314787910540023,0.4494896148976512,0.41382044788835065,0.37918240744492454,AIF1
0.12790444895358477,0.1109608781593984,0.17529296875,0.550763022394236,AIF1L
0.6945667195695254,0.5981994297700789,0.3577501842423664,0.5559723338929365,AIFM1
0.8288890993592439,0.716993315994529,0.332523250699072,0.7127490219659828,AIFM3
0.6896025213996716,0.6041053330538199,0.33591478847646394,0.5727911789382403,AIG1
0.7427867652335208,0.6798518451652271,0.40598440658404195,0.6268554009637132,AIMP1
0.7893223956000235,0.6720700984731044,0.36700924137885743,0.641316715307528,AIMP2
0.6765995761403903,0.6575087729402986,0.4148441889413929,0.5920876573675187,AIP
0.11435218631663122,0.12271529666883882,0.12295028513354274,0.7761128013388509,AJAP1
0.7555370088775756,0.6902044775490622,0.4198524062780178,0.639192514532557,AK1
0.6393552195114829,0.57618258554127,0.3435268978570897,0.5267319071671139,AK4
0.004592639408937187,0.026951630030118,0.10040363902779313,0.8796519869313624,AK5
0.8847464630452893,0.7956906287239182,0.4320333084140187,0.7800202071825825,AKAP1
0.8374078569483652,0.7904477283004229,0.4202165855816648,0.7547478636893225,AKAP11
0.5280643200820293,0.5342083742402989,0.47905807888730667,0.46173028742726124,AKAP12
0.43417561340823013,0.3464688958564512,0.23775763121801605,0.46273641897314904,AKAP6
0.28983643689631444,0.27346193046620365,0.21567649710111178,0.3515832871088082,AKAP7
0.6212187403456343,0.5469056183447896,0.321783537508408,0.5088036050105939,AKAP8
0.6948468402222664,0.6665052934075207,0.4293536536561826,0.5931436707959327,AKAP9
0.6419082623817086,0.6076846879743059,0.36864199592265245,0.544016528815828,AKIRIN1
0.7478710427110429,0.7051381190077137,0.40876076678290096,0.6529271264433579,AKIRIN2
-0.001527650477995013,-0.002099596422142054,0.03550189363397295,0.9853754700538484,AKR1B10
0.6557016140698169,0.6589966026863231,0.4565492190988839,0.581098243017779,AKT3
0.46661089426560337,0.4650595032585635,0.33659053140294404,0.41111909088671983,AKTIP
0.5411146669902337,0.5044995522493989,0.35577704087466067,0.4504020448702641,ALAD
0.6462315111730979,0.6154951510999122,0.38526910672098036,0.5522978113541311,ALAS1
0.5639003418315257,0.5415263474307911,0.3639409218335268,0.4880664104926761,ALCAM
0.14330211629079445,0.14842499094700487,0.2252989012123562,0.4150734759230478,ALDH1A1
0.04595470884261927,0.005571189595746382,0.08106311501502775,0.874228089307752,ALDH1A2
0.038717096675258175,0.06719613148873242,0.10391809388828446,0.8644528988875022,ALDH1L1
0.8666006839707889,0.8046653341805236,0.5010934734195033,0.772942087728281,ALDH2
0.593836642374926,0.5179816435063446,0.35782966905739383,0.4822068218473751,ALDH3A2
0.30577238756074654,0.24373995028388096,0.18025195571351652,0.5234857119077768,ALDH4A1
0.4574971523278003,0.37129607282996807,0.23368614213165878,0.45978007848510377,ALDH5A1
0.5818700080502871,0.4862371961871314,0.3002082022764373,0.4721255708256464,ALDH7A1
0.6268673898058992,0.5804385268414838,0.4012881755791206,0.5123807095357015,ALDH9A1
,,0.07294065075339407,0.9421976909808876,ALDOA
0.6028995617777249,0.5438568601314921,0.3129931492657519,0.5210068273667855,ALDOC
0.5653458251773893,0.5336606019667292,0.3410773087128751,0.48435576819460624,ALG2
